Group,daily_1,daily_2,daily_3,daily_4
Eukaryota_unclassified,0.6209150326797386,3.286316043308437,13.548656525387717,12.33547855425411
Eukaryota_unclassified,1.7961065704820742,23.59686896801799,61.3100491785496,50.213093451727175
Amphora,0.0,8.791709951170061,0.0,0.0
Developayella,1.2735505160968497,5.168591145847987,9.14098734901364,3.2455176894636693
Paraphysomonas,0.19607843137254902,9.08532887427941,13.943114488806449,2.9822770189089822
Mammalia_ge,4.051967819091107,22.584075056308524,0.13062299414732328,0.7508038605812914
Capnodiales_unclassified,2.28681426908663,1.347627087029009,0.0326797385620915,0.7175472928897586
Intramacronucleata_unclassified,21.844838391977795,4.2629156690938395,0.3589655040098231,7.602558440320911
Malassezia,3.0380005883631993,4.131993887691407,0.0,0.19595102890309718
Navicula,5.6802629727690155,0.2877478508303097,0.06529552460253508,3.4900172626576804
Choreotrichia_unclassified,4.213895603903661,1.7980465451588319,0.19607843137254902,6.2949748621358275
Thysanoptera_ge,2.482956652980827,1.09191718351008,0.0326797385620915,0.5218525766470972
Choreotrichia_unclassified,7.405190386656946,0.0,0.0,1.3701837829385355
Dothideales_unclassified,15.588235294117647,0.0,0.0,0.0
Other,29.521187470421953,14.5668617377541,1.2408705269861913,10.27974417857186,0
